,Value
2021-12-15,107144.16354636151
2021-12-16,106962.9251752133
2021-12-17,107002.16256592573
2021-12-20,106648.75594251185
2021-12-21,106475.75964917509
2021-12-22,106455.03725411119
2021-12-23,106420.78838090977
2021-12-24,106438.03563523504
2021-12-27,106294.48949125047
2021-12-28,106457.93096758497
2021-12-29,106263.12745902901
2021-12-30,106000.61888740958
2021-12-31,105812.0111667572
2022-01-03,105830.93382105048
2022-01-04,106208.81401926777
2022-01-05,106496.38113734231
2022-01-06,106258.63022969522
2022-01-07,106535.19720153106
2022-01-10,107436.95343726857
2022-01-11,107358.8277975252
2022-01-12,107888.97600100432
2022-01-13,108759.26283632863
2022-01-14,108587.37246076454
2022-01-17,108516.35654079258
2022-01-18,105810.3584933929
2022-01-19,105451.80475342507
2022-01-20,105479.85837867689
2022-01-21,104125.64020596095
2022-01-24,101660.39004400176
2022-01-25,102423.3609944544
2022-01-27,102664.6247810081
2022-01-28,102610.39303776622
2022-01-31,102408.88470444849
2022-02-01,102668.12896919198
2022-02-02,102729.16136728172
2022-02-03,102298.89603639934
2022-02-04,101884.84417601637
2022-02-07,100958.15586075868
2022-02-08,100820.94111849782
2022-02-09,100587.93314118174
2022-02-10,100278.99677441064
2022-02-11,99533.25060695865
2022-02-14,99583.42088927029
2022-02-15,99581.5720933361
2022-02-16,99529.48395963105
2022-02-17,99555.91343519608
2022-02-18,99355.92965885373
2022-02-21,99230.25928005052
2022-02-22,99193.68938392968
2022-02-23,99134.14859716089
2022-02-24,99287.69662760138
2022-02-25,99609.90686129224
2022-02-28,99611.9879560824
2022-03-02,99680.72103938034
2022-03-03,100233.36458372015
2022-03-04,100263.268758131
2022-03-07,100368.01372886205
2022-03-08,100336.53823104834
2022-03-09,100947.62576543668
2022-03-10,101115.34080016485
2022-03-11,101046.27769515033
2022-03-14,101229.71603141741
2022-03-15,101076.88322273816
2022-03-16,101025.9899445132
2022-03-17,101705.8030118069
2022-03-21,101534.24742339035
2022-03-22,101402.83364009671
2022-03-23,101500.56878544149
2022-03-24,101818.21415059533
2022-03-25,101710.31176900037
2022-03-28,101893.36852732077
2022-03-29,102452.65759237942
2022-03-30,102614.4083239094
2022-03-31,103394.78831851494
2022-04-01,104284.00191102881
2022-04-04,105799.29405114856
2022-04-05,106642.58123658787
2022-04-06,107170.64792946634
2022-04-07,106695.58646195046
2022-04-08,107699.57422412933
2022-04-11,107942.23722028139
2022-04-12,106069.27833524317
2022-04-13,105637.60349322896
2022-04-18,105700.00667611472
2022-04-19,105256.09159493646
2022-04-20,105569.3946196147
2022-04-21,105346.66061717462
2022-04-22,104785.92429712223
2022-04-25,104993.45954492727
2022-04-26,105023.56101465216
2022-04-27,105247.96222416138
2022-04-28,105541.0516054677
2022-04-29,105392.10352459783
2022-05-02,105419.91779124078
2022-05-04,106059.14883838406
2022-05-05,106035.59585267644
2022-05-06,106636.4355341267
2022-05-09,106674.40411925236
2022-05-10,107235.50395384905
2022-05-11,107467.56412800145
2022-05-12,107297.81798524539
2022-05-13,107708.43927944227
2022-05-16,107722.6243335954
2022-05-17,107856.14326111956
2022-05-18,107908.24181016955
2022-05-19,107829.50226113581
2022-05-20,107911.81687857457
2022-05-23,108201.70367133294
2022-05-24,108321.86087962429
2022-05-25,108969.27039177093
2022-05-26,108996.16613521524
2022-05-27,110018.81907770617
2022-05-30,110516.8266072219
2022-05-31,110505.76497756934
2022-06-01,110818.85422843856
2022-06-02,110626.40018399816
2022-06-03,110885.62434362363
2022-06-06,110967.56803287315
2022-06-07,111053.48159427696
2022-06-08,111149.72916394757
2022-06-09,111198.00969406129
2022-06-10,111261.52655481514
2022-06-13,111507.58802331539
2022-06-14,111720.92939746527
2022-06-15,111847.77002864394
2022-06-16,111672.13138633179
2022-06-17,112250.53965269771
2022-06-20,112656.58651176291
2022-06-21,112704.34537969089
2022-06-22,112593.93549114918
2022-06-23,112455.9843650011
2022-06-24,112312.65877812503
2022-06-27,112415.30522313307
2022-06-28,112542.31879188107
2022-06-29,112520.90401280046
2022-06-30,112482.98518964832
2022-07-01,112923.13915027933
2022-07-04,112873.98671879024
2022-07-05,112655.8765031669
2022-07-06,112457.43914428753
2022-07-07,112708.0026179289
2022-07-08,112695.28375667089
2022-07-11,113407.4573705914
2022-07-12,112891.37717561306
2022-07-13,113156.20546868049
2022-07-14,113087.54584482375
