,Value
2016-10-24,874009.048273934
2016-10-25,868157.0294063077
2016-10-26,855589.9711425893
2016-10-27,858079.303342012
2016-10-28,861427.3627192716
2016-11-01,865040.6551760155
2016-11-02,869532.135493554
2016-11-03,868902.5900110595
2016-11-04,873182.7629809404
2016-11-07,874914.1198246416
2016-11-08,875357.478559152
2016-11-09,883391.5355361989
2016-11-10,892664.0353763164
2016-11-11,897251.8141093515
2016-11-15,903856.9404556521
2016-11-16,905199.8620698967
2016-11-17,906206.5062509173
2016-11-18,909668.2855162527
2016-11-21,914391.4298728973
2016-11-22,916828.3275766461
2016-11-23,921540.188281248
2016-11-24,924825.1820625201
2016-11-25,927677.6532108784
2016-11-28,929464.5589014976
2016-11-29,930518.796786939
2016-11-30,934119.9709188386
2016-12-01,936939.1679698101
2016-12-02,939522.4551825119
2016-12-05,938756.0146093001
2016-12-06,938908.3151713373
2016-12-07,941063.0496640928
2016-12-08,941902.8760841166
2016-12-09,942926.3793115756
2016-12-12,944357.5403127472
2016-12-13,948147.1942413505
2016-12-14,950715.0773502329
2016-12-15,953253.8508415419
2016-12-16,956987.6218040682
2016-12-19,959070.6010531258
2016-12-20,959035.9837812333
2016-12-21,958814.1935444019
2016-12-22,960349.8190379888
2016-12-23,962269.8465297532
2016-12-26,961392.3930065235
2016-12-27,960508.0814366959
2016-12-28,961148.3411536559
2016-12-29,967437.4365526255
2016-12-30,968669.3693178883
2017-01-02,972505.5785979092
2017-01-03,976269.748693684
2017-01-04,978308.2506507739
2017-01-05,980983.406691307
2017-01-06,977913.5984559729
2017-01-09,977002.8449890102
2017-01-10,985714.3786939941
2017-01-11,1004398.3747192288
2017-01-12,1007348.8840189718
2017-01-13,1001370.5566524627
2017-01-16,1007096.0246606267
2017-01-17,1002729.8159214242
2017-01-18,1009285.4326409095
2017-01-19,1014080.7518982277
2017-01-20,998809.1856526819
2017-01-23,1004945.7572983053
2017-01-24,1013837.8559448619
2017-01-25,1025712.5574097125
2017-01-27,1046650.2731640778
2017-01-30,1046751.4678834013
2017-01-31,1034533.0928584108
2017-02-01,1050622.363588543
2017-02-02,1061248.7077548201
2017-02-03,1060511.7498448999
2017-02-06,1070410.8300464978
2017-02-07,1061214.1035769861
2017-02-08,1070598.4774154306
2017-02-09,1071476.5879382165
2017-02-10,1072279.6670364698
2017-02-13,1069389.7513064914
2017-02-14,1063872.7401152009
2017-02-15,1056296.5177389493
2017-02-16,1067597.067228434
2017-02-17,1072036.5726175064
2017-02-20,1085776.6910129874
2017-02-21,1091015.7868581992
2017-02-22,1086556.0095407178
2017-02-23,1087190.1595671265
2017-02-27,1083079.6502844342
2017-02-28,1085265.061018023
2017-03-01,1088578.7382082208
2017-03-02,1074434.6981135337
2017-03-03,1076242.3729827371
2017-03-06,1083000.6144053258
2017-03-07,1080847.0585626645
2017-03-08,1073549.000152283
2017-03-09,1072418.968633251
2017-03-10,1073681.996037396
2017-03-14,1096694.1367292448
2017-03-15,1101988.3681797
2017-03-16,1115095.5856381177
2017-03-17,1110598.9887482265
2017-03-20,1107172.4308385062
2017-03-21,1103359.4233482815
2017-03-22,1087972.9133082626
2017-03-23,1097136.4848691365
2017-03-24,1099849.708794203
2017-03-27,1086627.855408064
2017-03-28,1092368.8159230482
2017-03-29,1096012.7879561954
2017-03-30,1100755.6892137704
2017-03-31,1109850.0197066315
2017-04-03,1117855.846226455
2017-04-05,1130636.3934356861
2017-04-06,1131562.0141632336
2017-04-07,1129080.6352545768
2017-04-10,1132128.555797522
2017-04-11,1134917.7397715878
2017-04-12,1125038.9813203963
2017-04-13,1125962.8020404407
2017-04-17,1130406.2529578642
2017-04-18,1143438.2684910637
2017-04-19,1142599.987899612
2017-04-20,1147518.224491486
2017-04-21,1148150.9993103107
2017-04-24,1164372.129869402
2017-04-25,1174884.4730047884
2017-04-26,1154535.608244822
2017-04-27,1150825.3606885201
2017-04-28,1143456.388675802
2017-05-02,1143354.9644799747
2017-05-03,1143841.78322367
2017-05-04,1149301.4712811399
2017-05-05,1145275.096585852
2017-05-08,1148014.0898021155
2017-05-09,1151001.5563695768
2017-05-10,1165870.8228299029
2017-05-11,1165112.0184739553
2017-05-12,1163927.1730169952
2017-05-15,1167375.9260792257
2017-05-16,1174173.6768498805
2017-05-17,1175907.5225487023
2017-05-18,1157095.2616878236
2017-05-19,1159469.285405669
2017-05-22,1155192.3724920538
2017-05-23,1146421.7828986624
2017-05-24,1140205.0751779622
2017-05-25,1152938.0828007003
2017-05-26,1160397.1334333299
2017-05-29,1156095.3028412631
2017-05-30,1155709.1218901777
2017-05-31,1160055.8578885035
2017-06-01,1161139.761663413
2017-06-02,1158208.6748170746
2017-06-05,1164822.16586942
2017-06-06,1161248.5968898984
2017-06-07,1168974.1744773863
2017-06-08,1162270.1988660116
2017-06-09,1168895.8548774458
2017-06-12,1162080.5322371915
2017-06-13,1162431.8106647513
2017-06-14,1163231.620648954
2017-06-15,1158034.6578408307
2017-06-16,1155212.9148323755
2017-06-19,1159942.993107774
2017-06-20,1159706.4797219194
2017-06-21,1161664.633310065
2017-06-22,1159520.439370454
2017-06-23,1150108.2967192617
2017-06-27,1146249.5523302115
2017-06-28,1148542.6508240218
2017-06-29,1154872.4345000044
2017-06-30,1156273.015687834
2017-07-03,1166199.648884377
2017-07-04,1165274.186090686
2017-07-05,1172113.4418526161
2017-07-06,1175510.8423111914
2017-07-07,1176246.224222709
2017-07-10,1186192.5787906533
2017-07-11,1182276.830891022
2017-07-12,1195107.1933000248
2017-07-13,1201636.0404489052
2017-07-14,1201823.298395849
2017-07-17,1206986.3268764429
2017-07-18,1204148.336012624
2017-07-19,1212774.4611480134
2017-07-20,1207119.8997956049
2017-07-21,1212170.2785567404
2017-07-24,1214803.1020605953
2017-07-25,1214551.5596339302
2017-07-26,1227370.6783673088
2017-07-27,1217787.3932209318
2017-07-28,1209987.7157912836
2017-07-31,1222881.6162214056
2017-08-01,1228515.8672472243
2017-08-02,1231003.1920549138
2017-08-03,1226137.260353303
2017-08-04,1245145.679683127
2017-08-07,1251001.8317584991
2017-08-08,1242815.5761840122
2017-08-09,1222951.2221225502
2017-08-10,1207196.0420559153
2017-08-11,1192841.0296969134
2017-08-14,1198935.3108570718
2017-08-16,1208747.4762108105
2017-08-17,1201661.216690369
2017-08-18,1202407.6597706336
2017-08-21,1192119.3437263404
2017-08-22,1191957.2848131738
2017-08-23,1194490.9780141353
2017-08-24,1198506.825038738
2017-08-28,1202657.839152388
2017-08-29,1189627.7315513627
2017-08-30,1189485.3172051045
2017-08-31,1193380.6027503565
2017-09-01,1198541.6428544447
2017-09-04,1191703.8883949702
2017-09-05,1201221.826095831
2017-09-06,1202856.3217391062
2017-09-07,1200439.1322049543
2017-09-08,1197964.4771919174
2017-09-11,1205697.6565388164
2017-09-12,1225751.029167262
2017-09-13,1213163.980074347
2017-09-14,1213539.0199433372
2017-09-15,1213110.7098610958
2017-09-18,1218397.9349513478
2017-09-19,1216928.7086937842
2017-09-20,1211461.7762341304
2017-09-21,1206960.16271284
2017-09-22,1179861.5526765902
2017-09-25,1165852.7647833053
2017-09-26,1167871.1609420888
2017-09-27,1171900.7468361605
2017-09-28,1177373.099447477
2017-09-29,1179106.7979076253
2017-10-03,1180198.265866485
2017-10-04,1181321.5833015796
2017-10-05,1182021.3065878148
2017-10-06,1182101.6293551608
2017-10-09,1185452.6780799134
2017-10-10,1188828.1973210983
2017-10-11,1183798.710654535
2017-10-12,1196868.8813816428
2017-10-13,1204338.60746245
2017-10-16,1218614.4388215733
2017-10-17,1225414.6201395344
2017-10-18,1217992.2533834449
2017-10-19,1210617.5274581953
2017-10-23,1226888.4494330958
2017-10-24,1231141.2213808943
2017-10-25,1242319.587070962
2017-10-26,1252163.7191358511
2017-10-27,1247150.1884508466
2017-10-30,1254686.1425989033
2017-10-31,1249779.3900021138
2017-11-01,1263677.7360195473
2017-11-02,1266215.1187680357
2017-11-03,1273706.1092459538
2017-11-06,1286975.6932125145
2017-11-07,1260670.6146198055
2017-11-08,1261062.7759164833
2017-11-09,1273337.051488618
2017-11-10,1284641.2379913712
2017-11-13,1270106.4425170326
2017-11-14,1270623.1102193862
2017-11-15,1252529.6940315836
2017-11-16,1253225.5296167785
2017-11-17,1268779.2521584167
2017-11-20,1270777.9394049072
2017-11-21,1277299.8022606268
2017-11-22,1282401.6084547176
2017-11-23,1276937.8487564803
2017-11-24,1282332.179756488
2017-11-27,1282964.9825137076
2017-11-28,1273042.343492532
2017-11-29,1273315.0116108593
2017-11-30,1261134.7532571743
2017-12-01,1246397.2966265553
2017-12-04,1248096.749922137
2017-12-05,1251219.0854222048
2017-12-06,1253902.3033286382
2017-12-07,1260978.2260074897
2017-12-08,1263325.3914189467
2017-12-11,1273794.7754597592
2017-12-12,1263807.9754335925
2017-12-13,1253863.5634341848
2017-12-14,1254339.0040844372
2017-12-15,1266804.2724225684
2017-12-18,1281723.7384161204
2017-12-19,1299794.4132886939
2017-12-20,1296448.9975223215
2017-12-21,1294734.4915154893
2017-12-22,1298693.1303710847
2017-12-26,1303909.5869404087
2017-12-27,1300553.8349621217
2017-12-28,1299848.587780121
2017-12-29,1302270.5622754141
2018-01-02,1284638.5989728665
2018-01-03,1297114.299839027
2018-01-04,1316098.5121195698
2018-01-05,1330358.5550225996
2018-01-08,1337812.2748676348
2018-01-09,1337897.176909657
2018-01-10,1338191.0016860566
2018-01-11,1339010.757597328
2018-01-12,1338837.8997538008
