,Value
2022-01-03,105478.65934304384
2022-01-04,105870.19024701853
2022-01-05,106142.0519790633
2022-01-06,105877.21358179078
2022-01-07,106404.54342209005
2022-01-10,107192.86632793289
2022-01-11,107220.9124723933
2022-01-12,107692.80545642033
2022-01-13,108591.73064652209
2022-01-14,108525.28377016234
2022-01-17,108495.62889733854
2022-01-18,105810.49272142429
2022-01-19,105348.48044652701
2022-01-20,105294.15239758865
2022-01-21,104029.48492736909
2022-01-24,101427.71568083568
2022-01-25,101935.83044363749
2022-01-27,101754.2785974492
2022-01-28,101826.3282489619
2022-01-31,101620.22177834706
2022-02-01,101584.82639485183
2022-02-02,101715.27899827725
2022-02-03,101332.19585240154
2022-02-04,101223.98676620283
2022-02-07,100295.90614773642
2022-02-08,100199.10080609485
2022-02-09,100042.65113163061
2022-02-10,99887.88666375041
2022-02-11,99087.2716506415
2022-02-14,98986.260534338
2022-02-15,99016.25770019607
2022-02-16,98885.9044040012
2022-02-17,98853.44605389255
2022-02-18,98775.28901009934
2022-02-21,98635.6517258545
2022-02-22,98411.79075997496
2022-02-23,98260.22610883237
2022-02-24,98277.73815069949
2022-02-25,98528.36965009925
2022-02-28,98445.67884517983
2022-03-02,98917.13436977727
2022-03-03,99100.81017821027
2022-03-04,99298.96962789119
2022-03-07,99527.20099301399
2022-03-08,99516.58548514897
2022-03-09,99662.64650734761
2022-03-10,100033.04981696916
2022-03-11,100054.63385870909
2022-03-14,100085.36162267637
2022-03-15,100146.37023185562
2022-03-16,99980.78245574671
2022-03-17,100425.59536091873
2022-03-21,100225.31054025411
2022-03-22,100003.8605532384
2022-03-23,100184.40198833274
2022-03-24,100488.26025308129
2022-03-25,100285.29961592605
2022-03-28,100483.83962749818
2022-03-29,101091.42186635103
2022-03-30,101197.86261325501
2022-03-31,101920.42712161731
2022-04-01,102777.50914414095
2022-04-04,104223.18944068046
2022-04-05,105004.73641249012
2022-04-06,105539.81925022697
2022-04-07,105294.8466994107
2022-04-08,106102.06025620438
2022-04-11,106361.16573065222
2022-04-12,104482.82882843561
2022-04-13,104103.10261346637
2022-04-18,104243.16456555152
2022-04-19,103846.32035874917
2022-04-20,104015.78072110118
2022-04-21,103918.64761356304
2022-04-22,103249.5363738247
2022-04-25,103504.70888169538
2022-04-26,103450.12803858172
2022-04-27,103569.52758934502
2022-04-28,103661.93241290745
2022-04-29,103561.31759003937
2022-05-02,103588.31340819784
2022-05-04,104439.20694629461
2022-05-05,104544.4578470301
2022-05-06,105492.38938421039
2022-05-09,105578.29996640648
2022-05-10,106297.82610447676
2022-05-11,106387.41405225809
2022-05-12,106271.86300190553
2022-05-13,106602.33996926827
2022-05-16,106551.38444194144
2022-05-17,106527.20566223304
2022-05-18,106496.75093585998
2022-05-19,106492.5070668682
2022-05-20,106543.91308255652
2022-05-23,106817.57908723036
2022-05-24,106988.09137036646
2022-05-25,107243.34677626849
2022-05-26,107332.41024736376
2022-05-27,108035.00634190167
2022-05-30,108536.61636871706
2022-05-31,108489.37812066342
2022-06-01,108707.3604112317
2022-06-02,108593.66713655333
2022-06-03,108628.81506428622
2022-06-06,108602.63234390879
2022-06-07,108789.04536366591
2022-06-08,108500.82879030018
2022-06-09,108335.60759548568
2022-06-10,108231.95843689547
2022-06-13,108310.00690377192
2022-06-14,108459.40108210756
2022-06-15,108433.09238960255
2022-06-16,108098.83862005912
2022-06-17,108462.16436005561
2022-06-20,108584.44691119996
2022-06-21,108544.91886146292
2022-06-22,108497.47106933048
2022-06-23,108380.7692465526
2022-06-24,108365.51554274443
2022-06-27,108446.9066332398
2022-06-28,108503.5384408222
2022-06-29,108702.041211961
2022-06-30,108810.03858306321
2022-07-01,109033.2329088557
2022-07-04,108917.64958178226
2022-07-05,108827.77940616284
2022-07-06,108787.68011061552
2022-07-07,108912.87408915213
2022-07-08,109026.92215367965
2022-07-11,109474.41178487868
2022-07-12,108971.4666531856
2022-07-13,109230.54004998
2022-07-14,109297.81531995689
2022-07-15,109430.1202327698
2022-07-18,109771.7906968738
2022-07-19,109677.75044608986
2022-07-20,110119.45694961713
2022-07-21,111272.68676103793
2022-07-22,111414.18806284963
2022-07-25,111740.49610328978
2022-07-26,110646.43260437093
2022-07-27,112080.23039372108
2022-07-28,114351.06025464412
2022-07-29,116462.29562331627
2022-08-01,117955.53580657444
2022-08-02,118230.80852219011
2022-08-03,117889.42657478814
2022-08-04,118221.83601365484
2022-08-05,118167.1276116098
2022-08-08,119133.80635817006
2022-08-10,119407.29221772245
2022-08-11,120070.66513853101
2022-08-12,120206.9297806631
2022-08-16,121294.88105862959
2022-08-17,122079.31830689196
2022-08-18,122429.36852482222
2022-08-19,120814.88009784206
2022-08-22,118949.61218983046
2022-08-23,120136.1733771417
2022-08-24,120400.08303473594
2022-08-25,120047.9964697555
2022-08-26,121631.38217790172
2022-08-29,121274.35877674427
2022-08-30,123633.63216082072
2022-09-01,123607.00255925527
2022-09-02,124497.49309219858
2022-09-05,124961.11310289215
2022-09-06,125481.0898401973
2022-09-07,126010.42691910347
2022-09-08,126694.35984845019
2022-09-09,126381.970632449
2022-09-12,128773.81258081783
2022-09-13,129297.61693055532
2022-09-14,129227.91044218965
2022-09-15,129819.01641873542
2022-09-16,127401.53146740676
2022-09-19,127738.91120911088
2022-09-20,128957.05451843498
2022-09-21,126928.91058995425
2022-09-22,128017.42991244716
2022-09-23,125568.81348749727
2022-09-26,122933.81465028775
2022-09-27,122583.27624294981
2022-09-28,122304.10730301344
2022-09-29,122145.25138337638
2022-09-30,122427.33178206359
2022-10-03,122589.53579904395
2022-10-04,122790.25908708009
2022-10-06,123355.03776818927
2022-10-07,123138.6369546035
2022-10-10,122028.9425089468
2022-10-11,120758.22273945696
2022-10-12,120676.3953276228
2022-10-13,120665.87662496413
2022-10-14,120562.77227251296
