date,portfolio_value,cash
2012-06-01,136612.05803729713,20491.80870559457
2012-06-04,138311.48034555765,20746.722051833647
2012-06-05,139362.69651984354,20904.404477976528
2012-06-06,140119.70424688107,21017.95563703216
2012-06-07,140604.72684355697,21090.709026533546
2012-06-08,141270.8972451072,21190.63458676608
2012-06-11,140778.24123474298,21116.736185211445
2012-06-12,140923.8694605371,21138.580419080565
2012-06-13,141164.95637267255,21174.74345590088
2012-06-14,139284.08653806886,20892.612980710328
2012-06-15,139589.6640508096,20938.44960762144
2012-06-18,137805.56361767763,20670.834542651643
2012-06-19,139116.92459780216,20867.538689670324
2012-06-20,139543.04660868132,20931.4569913022
2012-06-21,140360.9738601715,21054.146079025726
2012-06-22,139976.03500227912,20996.405250341868
2012-06-25,138737.77756513862,20810.66663477079
2012-06-26,138982.97771944845,20847.446657917266
2012-06-27,139531.0865465581,20929.662981983714
2012-06-28,139898.5403408831,20984.781051132464
2012-06-29,142188.74925809426,21328.312388714137
2012-07-02,142333.99107711235,21350.09866156685
2012-07-03,142883.8022032908,21432.57033049362
2012-07-04,143462.69728969448,21519.404593454172
2012-07-05,144252.54751272782,21637.88212690917
2012-07-06,143980.00477469116,21597.000716203675
2012-07-09,142887.52808974052,21433.129213461078
2012-07-10,144244.78028402987,21636.71704260448
2012-07-11,144248.16591151763,21637.224886727643
2012-07-12,142936.97014565574,21440.54552184836
2012-07-13,142458.666560974,21368.7999841461
2012-07-16,142104.02855527107,21315.60428329066
2012-07-17,141291.08416583738,21193.662624875607
2012-07-18,142005.3600123671,21300.804001855064
2012-07-19,142495.62362002695,21374.34354300404
2012-07-20,141582.60809040573,21237.39121356086
2012-07-23,139604.57584564848,20940.686376847272
2012-07-24,140980.7245705256,21147.10868557884
2012-07-25,141272.7796389045,21190.916945835674
2012-07-26,142192.9599966234,21328.94399949351
2012-07-27,143348.18595977957,21502.227893966934
2012-07-30,144021.20723911285,21603.181085866927
2012-07-31,144485.22762559686,21672.78414383953
2012-08-01,144829.37808031912,21724.40671204787
2012-08-02,144889.9066735411,21733.486001031164
2012-08-03,144572.1137050269,21685.817055754032
2012-08-06,146056.1649644789,21908.424744671833
2012-08-07,146837.60749193377,22025.641123790065
2012-08-08,147057.2984497455,22058.594767461822
2012-08-09,147615.52813826344,22142.329220739517
2012-08-10,147884.20674781664,22182.631012172496
2012-08-13,148576.9033805053,22286.535507075794
2012-08-14,149862.51780795507,22479.37767119326
2012-08-16,149901.04747246267,22485.1571208694
2012-08-17,149311.10765016387,22396.666147524582
2012-08-21,150741.40826947178,22611.211240420766
2012-08-22,150435.85653257155,22565.37847988573
2012-08-23,150345.99265967167,22551.89889895075
2012-08-24,150011.60663459898,22501.740995189848
2012-08-27,149823.35568713213,22473.50335306982
2012-08-29,148799.2847138158,22319.89270707237
2012-08-30,149300.67447943633,22395.10117191545
2012-08-31,147605.7071472924,22140.856072093862
2012-09-03,147729.47027099936,22159.420540649902
2012-09-04,147898.98929773318,22184.848394659977
2012-09-05,146847.88965742214,22027.18344861332
2012-09-06,147238.7176933786,22085.80765400679
2012-09-07,147188.4581631916,22078.268724478738
2012-09-10,148168.37419262298,22225.25612889345
2012-09-11,148665.23401428608,22299.785102142912
2012-09-12,149297.49065884406,22394.62359882661
2012-09-13,149081.10567304565,22362.165850956848
2012-09-14,151370.6462428051,22705.596936420763
2012-09-17,151595.93461580068,22739.3901923701
2012-09-18,150972.67659843614,22645.90148976542
2012-09-20,149743.88186194698,22461.582279292048
2012-09-21,152015.64165347486,22802.34624802123
2012-09-24,152023.50785660098,22803.526178490145
2012-09-25,152354.21918586758,22853.132877880136
2012-09-26,152437.52881837895,22865.629322756842
2012-09-27,153654.54975400266,23048.1824631004
2012-09-28,155453.8597732884,23318.07896599326
2012-10-01,155685.68730762528,23352.85309614379
2012-10-03,156837.04513774774,23525.556770662162
2012-10-04,157267.89778003193,23590.18466700479
2012-10-05,157319.67664770017,23597.951497155023
2012-10-08,156542.6350887236,23481.39526330854
2012-10-09,157402.55504282564,23610.383256423844
2012-10-10,155297.33258558298,23294.599887837445
2012-10-11,156507.201752485,23476.08026287275
2012-10-12,157134.6022270276,23570.190334054136
2012-10-15,156766.7310461895,23515.009656928425
2012-10-16,155505.73586500715,23325.860379751073
2012-10-17,155495.67150491124,23324.350725736684
2012-10-18,156534.9333209755,23480.239998146328
2012-10-19,155196.138182726,23279.4207274089
2012-10-22,156655.81772669652,23498.37265900448
2012-10-23,156564.41916587582,23484.66287488137
2012-10-25,157168.52358670384,23575.278538005576
2012-10-29,155776.6450790923,23366.496761863844
2012-10-30,154168.39489837008,23125.25923475551
2012-10-31,155021.0434914632,23253.15652371948
2012-11-01,157649.13171995964,23647.369757993943
2012-11-02,158729.11891015773,23809.36783652366
2012-11-05,158944.56017623306,23841.68402643496
2012-11-06,159954.19445724037,23993.129168586056
2012-11-07,161544.59111054166,24231.68866658125
2012-11-08,160834.46643382657,24125.169965073987
2012-11-09,158655.38848605167,23798.30827290775
2012-11-12,158929.93077986408,23839.489616979612
2012-11-15,159188.66522009595,23878.29978301439
2012-11-16,158261.67350233952,23739.251025350928
2012-11-19,158101.7209133691,23715.258137005363
2012-11-20,158068.39902907284,23710.259854360924
2012-11-21,158431.1529978745,23764.672949681175
2012-11-22,158688.97237939507,23803.345856909258
2012-11-23,158754.76490470272,23813.21473570541
2012-11-26,158618.5952858263,23792.789292873946
2012-11-27,161179.47730758353,24176.921596137527
2012-11-29,161723.93658903497,24258.590488355247
2012-11-30,164038.43316849953,24605.764975274928
2012-12-03,164922.91813676176,24738.437720514263
2012-12-04,164354.65566000633,24653.198349000948
2012-12-05,164331.05840867938,24649.658761301907
2012-12-06,165728.06306993912,24859.209460490867
2012-12-07,165349.35881057772,24802.403821586657
2012-12-10,164370.60691736522,24655.591037604783
2012-12-11,164406.80245877625,24661.020368816437
2012-12-12,164713.67844612303,24707.051766918452
2012-12-13,163014.15811419033,24452.12371712855
2012-12-14,163591.52334718147,24538.72850207722
2012-12-17,163964.282492104,24594.642373815597
2012-12-18,165373.55595608722,24806.033393413083
2012-12-19,166925.80656909547,25038.87098536432
2012-12-20,165644.3791797711,24846.656876965662
2012-12-21,163179.68546859143,24476.952820288712
2012-12-24,163262.0175888425,24489.30263832637
2012-12-26,164081.44223621365,24612.216335432047
2012-12-27,163367.2483897154,24505.087258457308
2012-12-28,163793.8887234516,24569.083308517736
2012-12-31,163712.4423102081,24556.866346531217
2013-01-02,166844.42919160234,25026.66437874035
2013-01-03,166975.42133309098,25046.313199963646
2013-01-04,166986.63175088042,25047.99476263206
2013-01-07,167596.63509781103,25139.495264671652
2013-01-08,167293.66882464956,25094.050323697433
2013-01-09,167096.8783684722,25064.531755270826
2013-01-10,166542.8679977535,24981.430199663024
2013-01-11,164171.10091708312,24625.665137562468
2013-01-14,165132.08576912727,24769.81286536909
2013-01-15,166200.91521014535,24930.137281521802
2013-01-16,164383.2751912932,24657.491278693982
2013-01-17,165701.02827838884,24855.154241758326
2013-01-18,167617.69606919907,25142.65441037986
2013-01-21,168375.50302731324,25256.325454096987
2013-01-22,167116.9444108956,25067.54166163434
2013-01-23,167581.83166693372,25137.27475004006
2013-01-24,164909.3003299574,24736.395049493607
2013-01-25,166868.96214586598,25030.344321879897
2013-01-28,166006.77337236665,24901.016005854995
2013-01-29,164403.45106438707,24660.51765965806
2013-01-30,164536.11427745366,24680.417141618047
2013-01-31,164472.238631372,24670.8357947058
2013-02-01,164018.28450222063,24602.742675333095
2013-02-04,163011.96028503,24451.7940427545
2013-02-05,161710.75737245302,24256.61360586795
2013-02-06,162402.46379449186,24360.369569173778
2013-02-07,160624.60252608432,24093.690378912648
2013-02-08,158745.24376151068,23811.7865642266
2013-02-11,159708.41552339145,23956.262328508717
2013-02-12,160109.31869154,24016.397803730997
2013-02-13,160760.77498266072,24114.116247399106
2013-02-14,158844.5272552534,23826.67908828801
2013-02-15,159193.64331478192,23879.04649721729
2013-02-18,159523.54469709718,23928.531704564575
